"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00106152","MOSCOW U OF I, ID US","2021-05-05","0.00","0.0","72","35"
"USC00106152","MOSCOW U OF I, ID US","2021-05-06","0.00","0.0","86","50"
"USC00106152","MOSCOW U OF I, ID US","2021-05-07","0.00","0.0","80","42"
"USC00106152","MOSCOW U OF I, ID US","2021-05-08","0.00","0.0","55","32"
"USC00106152","MOSCOW U OF I, ID US","2021-05-09","0.00","0.0","60","27"
"USC00106152","MOSCOW U OF I, ID US","2021-05-10","0.00","0.0","64","34"
"USC00106152","MOSCOW U OF I, ID US","2021-05-11","0.00","0.0","70","36"
"USC00106152","MOSCOW U OF I, ID US","2021-05-12","0.01","0.0","74","36"
"USC00106152","MOSCOW U OF I, ID US","2021-05-13","0.00","0.0","73","36"
"USC00106152","MOSCOW U OF I, ID US","2021-05-14","0.00","0.0","78","40"
"USC00106152","MOSCOW U OF I, ID US","2021-05-15","0.00","0.0","78","35"
"USC00106152","MOSCOW U OF I, ID US","2021-05-16","0.00","0.0","82","40"
"USC00106152","MOSCOW U OF I, ID US","2021-05-17","0.00","0.0","81","42"
"USC00106152","MOSCOW U OF I, ID US","2021-05-18","0.00","0.0","77","48"
"USC00106152","MOSCOW U OF I, ID US","2021-05-19","0.03","0.0","60","40"
"USC00106152","MOSCOW U OF I, ID US","2021-05-20","0.45","0.0","49","39"
"USC00106152","MOSCOW U OF I, ID US","2021-05-21","0.02","0.0","57","33"
"USC00106152","MOSCOW U OF I, ID US","2021-05-22","0.00","0.0","65","43"
"USC00106152","MOSCOW U OF I, ID US","2021-05-23","0.00","0.0","65","38"
"USC00106152","MOSCOW U OF I, ID US","2021-05-24","0.00","0.0","65","48"
"USC00106152","MOSCOW U OF I, ID US","2021-05-25","0.10","0.0","66","39"
"USC00106152","MOSCOW U OF I, ID US","2021-05-26","0.08","0.0","69","47"
"USC00106152","MOSCOW U OF I, ID US","2021-05-27","0.00","0.0","74","48"
"USC00106152","MOSCOW U OF I, ID US","2021-05-28","0.00","0.0","68","40"
"USC00106152","MOSCOW U OF I, ID US","2021-05-29","0.00","0.0","72","36"
"USC00106152","MOSCOW U OF I, ID US","2021-05-30","0.00","0.0","77","34"
"USC00106152","MOSCOW U OF I, ID US","2021-05-31","0.00","0.0","81","38"
"USC00106152","MOSCOW U OF I, ID US","2021-06-01","0.00","0.0","86","46"
"USC00106152","MOSCOW U OF I, ID US","2021-06-02","0.00","0.0","91","51"
"USC00106152","MOSCOW U OF I, ID US","2021-06-03","0.00","0.0","89","54"
"USC00106152","MOSCOW U OF I, ID US","2021-06-04","0.00","0.0","85","58"
"USC00106152","MOSCOW U OF I, ID US","2021-06-05","0.00","0.0","78","52"
"USC00106152","MOSCOW U OF I, ID US","2021-06-06","0.12","0.0","63","35"
"USC00106152","MOSCOW U OF I, ID US","2021-06-07","0.00","0.0","61","34"
"USC00106152","MOSCOW U OF I, ID US","2021-06-08","0.00","0.0","71","45"
"USC00106152","MOSCOW U OF I, ID US","2021-06-09","0.08","0.0","68","43"
"USC00106152","MOSCOW U OF I, ID US","2021-06-10","0.00","0.0","65","47"
"USC00106152","MOSCOW U OF I, ID US","2021-06-11","0.00","0.0","74","36"
"USC00106152","MOSCOW U OF I, ID US","2021-06-12","0.13","0.0","74","49"
"USC00106152","MOSCOW U OF I, ID US","2021-06-13","0.00","0.0","89","50"
"USC00106152","MOSCOW U OF I, ID US","2021-06-14","0.00","0.0","84","52"
"USC00106152","MOSCOW U OF I, ID US","2021-06-15","0.51","0.0","80","50"
"USC00106152","MOSCOW U OF I, ID US","2021-06-16","0.03","0.0","71","39"
"USC00106152","MOSCOW U OF I, ID US","2021-06-17","0.00","0.0","77","39"
"USC00106152","MOSCOW U OF I, ID US","2021-06-18","0.00","0.0","83","42"
"USC00106152","MOSCOW U OF I, ID US","2021-06-19","0.00","0.0","80","43"
"USC00106152","MOSCOW U OF I, ID US","2021-06-20","0.00","0.0","83","45"
"USC00106152","MOSCOW U OF I, ID US","2021-06-21","0.00","0.0","87","52"
"USC00106152","MOSCOW U OF I, ID US","2021-06-22","0.00","0.0","88","49"
"USC00106152","MOSCOW U OF I, ID US","2021-06-23","0.00","0.0","87","60"
"USC00106152","MOSCOW U OF I, ID US","2021-06-24","0.00","0.0","88","46"
"USC00106152","MOSCOW U OF I, ID US","2021-06-25","0.00","0.0","87","48"
"USC00106152","MOSCOW U OF I, ID US","2021-06-26","0.00","0.0","95","53"
"USC00106152","MOSCOW U OF I, ID US","2021-06-27","0.00","0.0","98","62"
"USC00106152","MOSCOW U OF I, ID US","2021-06-28","0.00","0.0","101","64"
"USC00106152","MOSCOW U OF I, ID US","2021-06-29","0.00","0.0","105","63"
"USC00106152","MOSCOW U OF I, ID US","2021-06-30","0.00","0.0","104","68"
"USC00106152","MOSCOW U OF I, ID US","2021-07-01","0.02","0.0","99","69"
"USC00106152","MOSCOW U OF I, ID US","2021-07-02","0.00","0.0","89","54"
"USC00106152","MOSCOW U OF I, ID US","2021-07-03","0.00","0.0","92","46"
"USC00106152","MOSCOW U OF I, ID US","2021-07-04","0.00","0.0","91","45"
"USC00106152","MOSCOW U OF I, ID US","2021-07-05","0.00","0.0","91","45"
"USC00106152","MOSCOW U OF I, ID US","2021-07-06","0.00","0.0","96","47"
"USC00106152","MOSCOW U OF I, ID US","2021-07-07","0.02","0.0","93","51"
"USC00106152","MOSCOW U OF I, ID US","2021-07-08","0.00","0.0","85","48"
"USC00106152","MOSCOW U OF I, ID US","2021-07-09","0.00","0.0","89","43"
"USC00106152","MOSCOW U OF I, ID US","2021-07-10","0.00","0.0","94","50"
"USC00106152","MOSCOW U OF I, ID US","2021-07-11","0.00","0.0","92","45"
